Clinic Name,Exact Item Name (Inventory),Fuzzy Item Name (Clinic-Requested),SKU ID,Season (Needed By),Frequency,Volume
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,63
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,88
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha  open  season  tootbru  sh  2022,OS-11870-TBS22,Fall–Spring,Ongoing,82
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,36
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,93
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe ad vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,62
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,29
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,42
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,33
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,43
Clinic 1,,community hygiene kit,,Fall–Spring,Ongoing,21
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,33
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,gea open season tootbrsh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,75
Clinic 1,,tooth care bundle,,Fall–Spring,As Needed,25
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha  open  season  toothbru  sh  2022,OS-11870-TBS22,Fall–Spring,Ongoing,68
Clinic 1,,travel soap set,,Fall–Spring,As Needed,46
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,27
Clinic 1,,tooth care bundle,,Fall–Spring,As Needed,53
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,44
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,45
Clinic 1,,travel soap set,,Fall–Spring,As Needed,24
Clinic 1,,travel soap set,,Fall–Spring,As Needed,30
Clinic 1,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22o,KEN-381371178650,Fall–Spring,Ongoing,49
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,65
Clinic 1,,travel soap set,,Fall–Spring,As Needed,82
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,100
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha  open  season  tothbrsh  2022,OS-11870-TBS22,Fall–Spring,Ongoing,69
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbr sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,60
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,37
Clinic 1,,tooth care bundle,,Fall–Spring,Ongoing,61
Clinic 1,,tooth care bundle,,Fall–Spring,Ongoing,94
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,76
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrsh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,22
Clinic 1,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrsh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,47
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,63
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,86
Clinic 3,,clinic ppe bundle,,Summer–Fall,Ongoing,31
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,89
Clinic 3,,clinic ppe bundle,,Summer–Fall,Ongoing,37
Clinic 3,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930700,Summer–Fall,Ongoing,7
Clinic 3,,clinic ppe bundle,,Summer–Fall,As Needed,51
Clinic 3,2% W/V CHLORHEXIDINE GLUCONATE (CHG) AND 70% V/V ISOPROPYL ALCOHOL (IPA),2% w/v chlorhexidine gluconate (chg) and 70% v/v isopropyl alcohol (ipa),BD-930100,Summer–Fall,Ongoing,34
Clinic 3,PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,prep-solution-chloraprep™-scrub-teal™-10.5-ml-applicator-2%-/-70%-stregth-chg-(chlorhexidine-gluconate)-/-isopropyl-alcohol,BD-930725,Summer–Fall,Ongoing,9
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,55
Clinic 3,,protective gear set,,Summer–Fall,Ongoing,26
Clinic 3,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 3 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930415,Summer–Fall,Ongoing,35
Clinic 3,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrush 2022,OS-11870-TBS22,Summer–Fall,Ongoing,21
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e ornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,92
Clinic 3,,clinic ppe bundle,,Summer–Fall,As Needed,49
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitmin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,57
Clinic 3,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep  solution  chloraprep™  hi-lite  orange™  10.5  ml  applicator  2%  /  70%  strength  chg  (chlorhexidine  gluconate)  /  isopropyl  alcohol  sterile,BD-930715,Summer–Fall,Ongoing,14
Clinic 3,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 10.5 ml applicator % / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930700,Summer–Fall,Ongoing,11
Clinic 3,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open eason tothbrush 2022,OS-11870-TBS22,Summer–Fall,Ongoing,91
Clinic 3,,mask + gloves kit,,Summer–Fall,Ongoing,39
Clinic 3,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930700,Summer–Fall,Ongoing,34
Clinic 3,,mask + gloves kit,,Summer–Fall,Ongoing,15
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe  and  vitamine  cornstarch  powder  22oz,KEN-381371178650,Summer–Fall,Ongoing,78
Clinic 3,,protective gear set,,Summer–Fall,As Needed,20
Clinic 3,,mask + gloves kit,,Summer–Fall,Ongoing,20
Clinic 3,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbru sh 2022,OS-11870-TBS22,Summer–Fall,Ongoing,33
Clinic 3,,mask + gloves kit,,Summer–Fall,As Needed,55
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,54
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,50
Clinic 3,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930700,Summer–Fall,Ongoing,40
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,27
Clinic 3,"NITRILE EXAM GLOVES, POWDER FREE, NON STERILE SIZE MEDIUM AMBIDEXTROUS 100/CT","nitrile exam gloves, powder free, non sterile size medium ambidextrous 10/ct",GEN-EG-NITRILE-MD,Summer–Fall,Ongoing,8
Clinic 3,CHLORHEXIDINE GLUCONATE 2% W/V AND ISOPROPYL ALCOHOL 70% V/V  NON-STERILE BULK,chlorhexidine gluconate 2% w/v and isopropyl alcohol 70% v/v  non-sterile bulk,BD-930815NSB,Summer–Fall,Ongoing,11
Clinic 3,GEHA OPEN SEASON TOOTHBRUSH 2022,geha  open  season  tothbru  sh  2022,OS-11870-TBS22,Summer–Fall,Ongoing,86
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch poder 22oz,KEN-381371178650,Summer–Fall,Ongoing,77
Clinic 3,,clinic ppe bundle,,Summer–Fall,As Needed,40
Clinic 3,,protective gear set,,Summer–Fall,Ongoing,56
Clinic 3,,protective gear set,,Summer–Fall,Ongoing,35
Clinic 3,CHLORHEXIDINE GLUCONATE 2% W/V AND ISOPROPYL ALCOHOL 70% V/V  NON-STERILE BULK,chlorhexidine gluconate 2% w/v and isopropyl alcohol 70% v/v  non-sterile bulk,BD-930815NSB,Summer–Fall,Ongoing,39
Clinic 3,,mask + gloves kit,,Summer–Fall,Ongoing,17
Clinic 3,,protective gear set,,Summer–Fall,As Needed,47
Clinic 3,,protective gear set,,Summer–Fall,As Needed,33
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,78
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Summer–Fall,Ongoing,60
Clinic 3,,clinic ppe bundle,,Summer–Fall,As Needed,20
Clinic 3,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open seasontothbrsh 2022,OS-11870-TBS22,Summer–Fall,Ongoing,71
Clinic 3,,clinic ppe bundle,,Summer–Fall,Ongoing,36
Clinic 3,,mask + gloves kit,,Summer–Fall,Ongoing,22
Clinic 3,,clinic ppe bundle,,Summer–Fall,Ongoing,27
Clinic 3,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-powder-22oz,KEN-381371178650,Summer–Fall,Ongoing,24
Clinic 2,ADHESIVE BANDAGES,adhesive andges,8137-0046-66E,Fall–Spring,Ongoing,18
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,23
Clinic 2,PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,prep solution chloraprep™ scrub teal™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol,BD-930725,Fall–Spring,Ongoing,22
Clinic 2,CHLORHEXIDINE GLUCONATE 2% W/V AND ISOPROPYL ALCOHOL 70% V/V  NON-STERILE BULK,chlorhexidine gluconat 2% w/v and isopropyl alcohol 70% v/v  non-sterile bulk,BD-930815NSB,Fall–Spring,Ongoing,38
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,39
Clinic 2,SYRINGE 3ML LUER LOK S/C STERILE,syringe 3ml luer lok s/c sterile,BD-309657,Fall–Spring,Ongoing,30
Clinic 2,,dental cleaning kit,,Fall–Spring,Ongoing,9
Clinic 2,PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,prep solution chloraprep™ scrub tel™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol,BD-930725,Fall–Spring,Ongoing,32
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,gehaopen season toothbru sh 2022,OS-11870-TBS22,Fall–Spring,Ongoing,66
Clinic 2,,mouth care bundle,,Fall–Spring,Ongoing,30
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,20
Clinic 2,,oral care set,,Fall–Spring,Ongoing,11
Clinic 2,"SYRINGE  10ML LL STERILE BD LUER-LOK TIP SYRINGE, DISPOSABLE, PRECISIONGLIDE NEEDLE","syringe  10ml ll sterile bd luer-lok tip syringe, isposable, precisionglide needle",BD-309642-20,Fall–Spring,Ongoing,23
Clinic 2,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep-solution-chloraprep™-clear-10.5-ml-applicator-2%-/-70%-strength-chg-(chlorhexidine-gluconate)-/-isopropyl-alohol-sterile,BD-930700,Fall–Spring,Ongoing,14
Clinic 2,"SYRINGE  10ML LL STERILE BD LUER-LOK TIP SYRINGE, DISPOSABLE, PRECISIONGLIDE NEEDLE","syringe    10ml  ll  sterile  bd  luer-lok  tip  syringe,  disposable,  precisionglide  needle",BD-309642-20,Fall–Spring,Ongoing,11
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,13
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep  solution  chloraprep™  hi-lite  orange™  10.5  ml  applicator  2%  /  70%  strength  chg  (chlorhexidine  gluconate)  /  isopropyl  alcohol  sterile,BD-930715,Fall–Spring,Ongoing,26
Clinic 2,"NITRILE EXAM GLOVES, POWDER FREE, NON STERILE SIZE MEDIUM AMBIDEXTROUS 100/CT","nitrile exam govs, powder free, non sterile size medium ambidextrous 100/ct",GEN-EG-NITRILE-MD,Fall–Spring,Ongoing,38
Clinic 2,,mouth care bundle,,Fall–Spring,As Needed,16
Clinic 2,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930700,Fall–Spring,Ongoing,26
Clinic 2,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,43
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,Ongoing,23
Clinic 2,,oral care set,,Fall–Spring,Ongoing,13
Clinic 2,,dental cleaning kit,,Fall–Spring,Ongoing,20
Clinic 2,,dental cleaning kit,,Fall–Spring,Ongoing,13
Clinic 2,PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep-solution-chloraprep™-clear-1-ml-applicator-2%-/-70%-strength-chg-(chlorhexidine-gluconate)-/-isopropyl-alcohol-steile,BD-930480NSB,Fall–Spring,Ongoing,23
Clinic 2,,mouth care bundle,,Fall–Spring,Ongoing,27
Clinic 2,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Fall–Spring,Ongoing,83
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,Ongoing,6
Clinic 2,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe  and  vitamin  e  cornstarch  powder  22oz,KEN-381371178650,Fall–Spring,Ongoing,99
Clinic 2,,oral care set,,Fall–Spring,Ongoing,16
Clinic 2,"SYRINGE  10ML LL STERILE BD LUER-LOK TIP SYRINGE, DISPOSABLE, PRECISIONGLIDE NEEDLE","syringe  10ml ll sterile bd luer-lok tip syringe, disposable, precisionglide needle",BD-309642-20,Fall–Spring,Ongoing,12
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930715,Fall–Spring,Ongoing,32
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,13
Clinic 2,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-powder-22oz,KEN-381371178650,Fall–Spring,Ongoing,56
Clinic 2,ADHESIVE BANDAGES,adhesive-bandags,8137-0046-66E,Fall–Spring,Ongoing,40
Clinic 2,CHLORHEXIDINE GLUCONATE 2% W/V AND ISOPROPYL ALCOHOL 70% V/V  NON-STERILE BULK,chlorhexidine  gluconate  2%  w/v  and  isopropyl  alcohol  70%  v/v    non-sterile  bulk,BD-930815NSB,Fall–Spring,Ongoing,17
Clinic 2,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamine-cornstarch-powder-22oz,KEN-381371178650,Fall–Spring,Ongoing,56
Clinic 2,,oral care set,,Fall–Spring,As Needed,11
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrush 2022,OS-11870-TBS22,Fall–Spring,Ongoing,33
Clinic 2,,dental cleaning kit,,Fall–Spring,Ongoing,13
Clinic 2,"NITRILE EXAM GLOVES, POWDER FREE, NON STERILE SIZE MEDIUM AMBIDEXTROUS 100/CT","nitrile exam gloves, powder free, non sterile size medium ambidextrous 100/ct",GEN-EG-NITRILE-MD,Fall–Spring,Ongoing,40
Clinic 2,,dental cleaning kit,,Fall–Spring,Ongoing,13
Clinic 2,PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ hi-lite orange™ 3 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930415,Fall–Spring,Ongoing,6
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,29
Clinic 2,GEHA OPEN SEASON TOOTHBRUSH 2022,geha-open-season-tothbrsh-2022,OS-11870-TBS22,Fall–Spring,Ongoing,56
Clinic 2,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 10.5 ml applicator 2% / 70% strength chg (chlorheidine gluconate) / isopropyl alcohol sterile,BD-930700,Fall–Spring,Ongoing,31
Clinic 2,,mouth care bundle,,Fall–Spring,Ongoing,20
Clinic 2,,oral care set,,Fall–Spring,As Needed,29
Clinic 2,,dental cleaning kit,,Fall–Spring,As Needed,24
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open eason tootbru sh 2022,OS-11870-TBS22,Winter–Spring,Ongoing,31
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha oen season tootbru sh 2022,OS-11870-TBS22,Winter–Spring,Ongoing,92
Clinic 9,,urgent wound kit,,Winter–Spring,As Needed,10
Clinic 9,PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,prep solution hloraprep™ scrub teal™ 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol,BD-930725,Winter–Spring,Ongoing,24
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season toothbrush 2022,OS-11870-TBS22,Winter–Spring,Ongoing,77
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbrsh 2022,OS-11870-TBS22,Winter–Spring,Ongoing,38
Clinic 9,,first-aid refill,,Winter–Spring,As Needed,21
Clinic 9,,first-aid refill,,Winter–Spring,Ongoing,43
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,Ongoing,81
Clinic 9,,urgent wound kit,,Winter–Spring,Ongoing,30
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,Ongoing,59
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open seaon tootbrsh 2022,OS-11870-TBS22,Winter–Spring,Ongoing,44
Clinic 9,GEHA OPEN SEASON TOOTHBRUSH 2022,geha open season tootbru sh 2022,OS-11870-TBS22,Winter–Spring,Ongoing,47
Clinic 9,,field bandage bundle,,Winter–Spring,As Needed,37
Clinic 9,2% W/V CHLORHEXIDINE GLUCONATE (CHG) AND 70% V/V ISOPROPYL ALCOHOL (IPA),2% w/v chlorhexidine gluconate (chg) and 70% v/v isopropyl alcohol (ipa),BD-930100,Winter–Spring,Ongoing,38
Clinic 9,ADHESIVE BANDAGES,adhesive-bandges,8137-0046-66E,Winter–Spring,Ongoing,34
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,aloe-and-vitamin-e-cornstarch-powder-22oz,KEN-381371178650,Winter–Spring,Ongoing,77
Clinic 9,PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,prep solution chloraprep™ clear 10.5 ml applicator 2% / 70% strength chg (chlorhexidine gluconate) / isopropyl alcohol sterile,BD-930700,Winter–Spring,Ongoing,10
Clinic 9,"NITRILE EXAM GLOVES, POWDER FREE, NON STERILE SIZE MEDIUM AMBIDEXTROUS 100/CT","nitrile exam gloves, powdr free, non sterile size medium ambidextrous 100/ct",GEN-EG-NITRILE-MD,Winter–Spring,Ongoing,15
Clinic 9,ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,ale and vitamin e cornstarch powder 22oz,KEN-381371178650,Winter–Spring,Ongoing,72
Clinic 9,,field bandage bundle,,Winter–Spring,Ongoing,22
Clinic 9,SYRINGE 3ML LUER LOK S/C STERILE,syringe 3ml luer lok s/c sterile,BD-309657,Winter–Spring,Ongoing,22
