DONOR PARTNER,INBOUND DATE,ITEMIZED LIST,UNITS RECEIVED,UNIT OF MEASURE,DATE REDISTRIBUTED,OUTBOUND RECIPIENT,ITEMIZED LIST.1,UNITS DISTRIBUTED,COMMENT,DONOR
,"January 16, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"February 6, 2024",Clinic 1,,74,,General Hospital A
,"February 16, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PACK,"February 23, 2024",Clinic 1,,114,,Regional Health Org
,"April 6, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"April 15, 2024",Clinic 1,,118,,Regional Health Org
,"April 28, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"June 12, 2024",Clinic 1,,20,,General Hospital A
,"September 25, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PACK,"October 9, 2024",Clinic 1,,93,,General Hospital A
,"October 27, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"December 10, 2024",Clinic 1,,23,,City Medical Center
,"December 10, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"December 24, 2024",Clinic 1,,31,,City Medical Center
,"January 10, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"January 27, 2025",Clinic 1,,116,,Regional Health Org
,"January 30, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PACK,"February 28, 2025",Clinic 1,,55,,General Hospital A
,"March 6, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"March 14, 2025",Clinic 1,,110,,Regional Health Org
,"March 18, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,BOX,"April 4, 2025",Clinic 1,,31,,Regional Health Org
,"April 15, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"April 22, 2025",Clinic 1,,45,,General Hospital A
,"April 23, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"May 14, 2025",Clinic 1,,110,,City Medical Center
,"April 27, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,BOX,"May 30, 2025",Clinic 1,,114,,General Hospital A
,"September 6, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"September 26, 2025",Clinic 1,,43,,General Hospital A
,"January 3, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"February 16, 2023",Clinic 1,,101,,General Hospital A
,"February 20, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PACK,"March 19, 2023",Clinic 1,,56,,General Hospital A
,"April 3, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,BOX,"May 23, 2023",Clinic 1,,24,,Regional Health Org
,"August 14, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"August 27, 2023",Clinic 1,,119,,General Hospital A
,"August 30, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PACK,"September 15, 2023",Clinic 1,,66,,City Medical Center
,"September 3, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PAIR,"October 16, 2023",Clinic 1,,113,,General Hospital A
,"November 14, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,BOX,"December 28, 2023",Clinic 1,,31,,City Medical Center
,"December 28, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,RL.,"February 12, 2024",Clinic 1,,44,,City Medical Center
,"February 29, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PAIR,"April 5, 2024",Clinic 1,,40,,General Hospital A
,"April 20, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,EA.,"April 28, 2024",Clinic 1,,47,,General Hospital A
,"May 18, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,EA.,"June 14, 2024",Clinic 1,,88,,General Hospital A
,"September 18, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"November 10, 2024",Clinic 1,,25,,Regional Health Org
,"November 17, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PAIR,"December 1, 2024",Clinic 1,,30,,Regional Health Org
,"November 5, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"December 15, 2024",Clinic 1,,119,,City Medical Center
,"December 29, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PAIR,"January 22, 2025",Clinic 1,,119,,City Medical Center
,"December 27, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PAIR,"February 5, 2025",Clinic 1,,49,,Regional Health Org
,"January 9, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"February 19, 2025",Clinic 1,,33,,General Hospital A
,"January 27, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"March 20, 2025",Clinic 1,,109,,Regional Health Org
,"February 14, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"April 1, 2025",Clinic 1,,36,,General Hospital A
,"April 15, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,RL.,"May 5, 2025",Clinic 1,,76,,Regional Health Org
,"April 17, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"May 26, 2025",Clinic 1,,111,,General Hospital A
,"May 15, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PAIR,"June 16, 2025",Clinic 1,,47,,City Medical Center
,"May 26, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,RL.,"July 15, 2025",Clinic 1,,28,,General Hospital A
,"August 24, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,EA.,"September 12, 2025",Clinic 1,,107,,General Hospital A
,"August 1, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"September 28, 2025",Clinic 1,,63,,Regional Health Org
,"January 15, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,BOX,"March 3, 2023",Clinic 1,,30,,City Medical Center
,"June 9, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,BOX,"June 18, 2023",Clinic 1,,27,,Regional Health Org
,"August 18, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,PAIR,"September 22, 2023",Clinic 1,,90,,General Hospital A
,"September 8, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,BOX,"October 3, 2023",Clinic 1,,65,,City Medical Center
,"October 1, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,CS.,"November 16, 2023",Clinic 1,,25,,General Hospital A
,"October 19, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,EA.,"December 3, 2023",Clinic 1,,47,,Regional Health Org
,"November 12, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,PACK,"December 17, 2023",Clinic 1,,114,,General Hospital A
,"February 2, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,CS.,"February 18, 2024",Clinic 1,,79,,Regional Health Org
,"June 12, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,PAIR,"August 9, 2024",Clinic 1,,109,,Regional Health Org
,"July 14, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,PAIR,"September 4, 2024",Clinic 1,,76,,Regional Health Org
,"September 24, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,EA.,"November 1, 2024",Clinic 1,,119,,City Medical Center
,"October 17, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,EA.,"December 9, 2024",Clinic 1,,119,,General Hospital A
,"December 20, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,CS.,"January 25, 2025",Clinic 1,,113,,General Hospital A
,"January 28, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,BOX,"February 8, 2025",Clinic 1,,114,,City Medical Center
,"August 7, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,PAIR,"September 1, 2025",Clinic 1,,109,,General Hospital A
,"September 18, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,RL.,"October 26, 2025",Clinic 1,,24,,Regional Health Org
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"January 15, 2023",Clinic 3,,17,,City Medical Center
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"January 31, 2023",Clinic 3,,27,,General Hospital A
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"February 8, 2023",Clinic 3,,40,,Regional Health Org
,"March 23, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"April 21, 2023",Clinic 3,,6,,Regional Health Org
,"April 18, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"June 2, 2023",Clinic 3,,16,,Regional Health Org
,"May 26, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"June 16, 2023",Clinic 3,,44,,Regional Health Org
,"May 23, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"July 5, 2023",Clinic 3,,25,,City Medical Center
,"June 30, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"July 27, 2023",Clinic 3,,27,,City Medical Center
,"July 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"August 20, 2023",Clinic 3,,38,,General Hospital A
,"August 15, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"September 12, 2023",Clinic 3,,32,,General Hospital A
,"August 30, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"October 25, 2023",Clinic 3,,27,,City Medical Center
,"November 20, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"November 27, 2023",Clinic 3,,6,,City Medical Center
,"November 30, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"December 9, 2023",Clinic 3,,11,,Regional Health Org
,"December 22, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"January 11, 2024",Clinic 3,,22,,City Medical Center
,"January 30, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"March 8, 2024",Clinic 3,,30,,City Medical Center
,"February 17, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"March 25, 2024",Clinic 3,,46,,City Medical Center
,"April 20, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"May 31, 2024",Clinic 3,,30,,Regional Health Org
,"May 17, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"June 24, 2024",Clinic 3,,24,,City Medical Center
,"June 2, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"July 9, 2024",Clinic 3,,45,,General Hospital A
,"July 9, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"July 29, 2024",Clinic 3,,29,,Regional Health Org
,"June 22, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"August 14, 2024",Clinic 3,,48,,General Hospital A
,"July 30, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"September 20, 2024",Clinic 3,,38,,City Medical Center
,"October 5, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"October 12, 2024",Clinic 3,,11,,City Medical Center
,"October 22, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"November 25, 2024",Clinic 3,,22,,General Hospital A
,"November 26, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"December 13, 2024",Clinic 3,,22,,City Medical Center
,"November 9, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"January 7, 2025",Clinic 3,,40,,General Hospital A
,"January 26, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"March 12, 2025",Clinic 3,,21,,Regional Health Org
,"April 2, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"April 19, 2025",Clinic 3,,8,,City Medical Center
,"April 17, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"May 23, 2025",Clinic 3,,16,,General Hospital A
,"August 18, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"September 24, 2025",Clinic 3,,31,,General Hospital A
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"January 28, 2023",Clinic 3,,27,,Regional Health Org
,"January 5, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"February 10, 2023",Clinic 3,,35,,Regional Health Org
,"February 21, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"March 25, 2023",Clinic 3,,11,,City Medical Center
,"March 30, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"April 27, 2023",Clinic 3,,25,,Regional Health Org
,"June 9, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"June 19, 2023",Clinic 3,,37,,City Medical Center
,"July 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"August 4, 2023",Clinic 3,,43,,General Hospital A
,"August 13, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"September 10, 2023",Clinic 3,,43,,City Medical Center
,"August 29, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"October 12, 2023",Clinic 3,,32,,Regional Health Org
,"January 23, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"February 1, 2024",Clinic 3,,30,,Regional Health Org
,"February 22, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"April 16, 2024",Clinic 3,,40,,Regional Health Org
,"March 28, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"April 28, 2024",Clinic 3,,24,,General Hospital A
,"May 6, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"May 23, 2024",Clinic 3,,30,,Regional Health Org
,"May 18, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"June 10, 2024",Clinic 3,,17,,General Hospital A
,"June 17, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"July 1, 2024",Clinic 3,,10,,City Medical Center
,"May 31, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"July 25, 2024",Clinic 3,,13,,Regional Health Org
,"July 20, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"August 19, 2024",Clinic 3,,49,,City Medical Center
,"September 1, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"October 4, 2024",Clinic 3,,12,,General Hospital A
,"September 24, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"November 20, 2024",Clinic 3,,5,,General Hospital A
,"October 21, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"November 27, 2024",Clinic 3,,17,,City Medical Center
,"February 2, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"February 12, 2025",Clinic 3,,41,,City Medical Center
,"January 30, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"February 26, 2025",Clinic 3,,46,,Regional Health Org
,"February 6, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"March 14, 2025",Clinic 3,,19,,General Hospital A
,"March 8, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"March 28, 2025",Clinic 3,,29,,City Medical Center
,"June 7, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"August 5, 2025",Clinic 3,,28,,Regional Health Org
,"August 15, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"September 5, 2025",Clinic 3,,47,,City Medical Center
,"August 17, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"September 20, 2025",Clinic 3,,27,,General Hospital A
